DateKey,OLS_MVO,RF_MVO,EW_OLS_stocks,EW_RF_stocks
202201,0.08921183333333332,0.003008166666666666,0.08921183333333332,0.003008166666666666
202202,0.01499038648922902,0.010832499999999998,-0.016441825000000007,0.010832499999999998
202203,0.009496405025921622,0.11441366666666666,-0.006002500000000001,0.11441366666666666
202204,0.11856902103144346,0.034968666666666676,0.06562733333333332,0.034968666666666676
202205,-0.2508769625,0.03554616666666666,-0.267955625,0.03554616666666666
202206,0.193345645860254,0.06996434166666668,0.17706633333333333,0.06996434166666668
202207,0.12662519117715573,0.06997966666666663,0.12159649999999998,0.06997966666666663
202208,-0.11026429602866994,-0.06433949166666666,-0.13007731666666666,-0.06433949166666666
202209,0.03855390674929527,0.056489000000000025,0.03399516666666667,0.05648900000000001
202210,-0.10262931616462727,0.03888866666666667,-0.10792982500000001,0.03888866666666667
202211,0.04934549547411033,-0.03839969985801071,0.06092900000000001,-0.048863833333333356
202212,-0.09831182313341194,0.043149189190912346,0.020579675,0.03976916666666669
202301,-0.014281264621399552,-0.10397016666666666,-0.040994499999999996,-0.10397016666666666
202302,-0.036551959913215,-0.015566513392021149,-0.03135116666666666,0.012641333333333333
202303,0.0464001633420674,-0.0012754000000000845,0.04591133333333332,-0.012147833333333333
202304,-0.020429989045765165,0.05307959999999993,0.010922833333333333,0.03959799999999998
202305,-0.05325167792005318,0.07563319999999998,-0.043769999999999996,0.058659666666666666
202306,0.029499970675160456,0.0341316368539319,-0.005186500000000019,0.025480166666666665
202307,-0.14500164201775112,-0.10920997878613979,-0.08220449166666666,-0.06693099166666666
202308,0.10917217220748324,-0.032183166666666645,0.09116133333333334,-0.032183166666666645
202309,-0.15173359546930443,-0.004764166666666664,-0.1277608333333333,-0.004764166666666664
202310,0.19325390462657815,0.069819,0.14542516666666666,0.09491566666666665
202311,0.13726441401262535,0.12579033333333337,0.10768433333333331,0.12579033333333334
202312,0.006652769355489037,-0.038352399999999995,-0.034394166666666656,-0.009625166666666648
202401,-0.005938321473633594,-0.023395799999999998,-0.03203900000000002,0.0025519999999999835
202402,-0.0398913888281167,0.04770079999999995,0.01929083333333334,0.03619149999999997
202403,0.18290265893954413,-0.025237400000000028,0.09131916666666667,-0.03862349999999998
202404,0.007271480977827149,0.08088280000000003,0.013076666666666681,0.08254249999999998
202405,-0.13595049994446867,0.06613800000000009,-0.1208266583333333,0.035183500000000034
202406,0.09673340222333832,0.007684556350926762,0.09675816666666662,0.030716999999999994
202407,-0.04191430790476626,0.003917200000000022,-0.08920099166666665,0.0038053333333333663
202408,-0.015485537758672705,0.09824479999999998,-0.0006309999999999823,0.05340749999999997
202409,-0.01650323282243071,0.022135333333333333,-0.008485000000000001,0.02213533333333333
202410,0.05753362778191648,0.10044613032993911,0.008657500000000005,0.10597966666666667
202411,0.013997988000457462,-0.009397333333333336,-0.0048431666666667005,-0.009397333333333336
202412,0.08109470296315964,-0.05946660000000001,0.09926683333333333,-0.03633016666666666
202501,0.04099425992059809,-0.1439791583333333,0.011183499999999999,-0.1439791583333333
202502,0.022265570769313688,0.0005216666666666703,0.07010934166666664,0.0005216666666666703
202503,0.09650816694181552,0.05749966666666666,0.10617416666666665,0.05749966666666666
202504,-0.021711445829822013,0.05279664241430268,-0.05221616666666665,0.04591416666666667
202505,0.1729916398261988,0.040162833333333314,0.1608528333333333,0.040162833333333314
202506,0.11448906456906142,0.0009690980868387496,0.1531256666666666,0.009096499999999997
202507,-0.06330644653405686,0.05421190835667905,-0.06064099166666666,0.04414716666666664
202508,-0.02211369114976886,0.0170545,-0.03830799999999997,0.017054499999999997
202509,-0.06558738299172773,0.01213219607404024,-0.08951683333333332,-0.005243666666666653
202510,-0.14796433083141886,0.038315149730789366,-0.10378500000000002,0.012939500000000003
202511,-0.038117648573437767,0.008865833333333318,-0.00522366666666667,0.008865833333333318
