DateKey,OLS_MVO,RF_MVO,EW_OLS_stocks,EW_RF_stocks
202201,0.08921183333333332,0.004760166666666664,0.08921183333333332,0.004760166666666664
202202,0.01499066804378299,0.008459833333333333,-0.016441824999999986,0.008459833333333333
202203,0.009496170942166739,-0.0780515,-0.006002500000000004,-0.0780515
202204,0.11856864924563484,-0.025231833333333332,0.06562733333333332,-0.025231833333333332
202205,-0.2508769625,0.07495391944956564,-0.267955625,0.03554616666666667
202206,0.19334648528092976,0.08817195976361751,0.17706633333333333,0.0762741666666667
202207,0.12662526860337334,0.017116631410096575,0.12159649999999998,0.02245733333333333
202208,-0.11026631086128849,-0.1299901911527572,-0.13007731666666666,-0.11506799166666666
202209,0.038550994653962944,0.08021545775223676,0.03399516666666667,0.07748100000000002
202210,-0.10263014318970062,0.01900799999999998,-0.107929825,0.03888866666666667
202211,0.049341377922772635,-0.05161586093772663,0.06092900000000001,-0.04886383333333334
202212,-0.09831182679513364,0.03352971117639144,0.020579675000000006,0.03976916666666669
202301,-0.014281376898061934,-0.009635856802860315,-0.040994499999999996,-0.005771166666666666
202302,-0.03655279912814252,0.01858689377862769,-0.031351166666666645,0.012641333333333334
202303,0.04640016386786998,0.002991200000000031,0.04591133333333331,-0.012147833333333333
202304,-0.02042966666037071,0.0778335999999999,0.01092283333333334,0.03959799999999999
202305,-0.053251818768063744,0.04359139999999998,-0.04377,0.058659666666666666
202306,0.029502529873818188,0.033934894111698616,-0.0051865000000000105,0.025480166666666665
202307,-0.14500159895254103,-0.06779005933358564,-0.08220449166666666,-0.06693099166666668
202308,0.10917222872453727,-0.03218316666666665,0.09116133333333334,-0.03218316666666665
202309,-0.15173359575916567,-0.004764166666666666,-0.1277608333333333,-0.004764166666666666
202310,0.193253505031652,0.08380919999999997,0.1454251666666667,0.09491566666666665
202311,0.13726505665760771,-0.012874400000000015,0.10768433333333333,0.007790499999999999
202312,0.00665276940871273,-0.023805400000000004,-0.03439416666666666,-0.00962516666666665
202401,-0.005939429532920105,0.005178600000000002,-0.03203900000000002,0.0025519999999999822
202402,-0.03989148190570746,0.051876999999999944,0.01929083333333333,0.03619149999999996
202403,0.1829026590963313,-0.02183900000000001,0.09131916666666667,-0.03862349999999998
202404,0.007271486927140983,0.06103200000000019,0.013076666666666684,0.08254249999999999
202405,-0.1359508599324391,0.06284960000000005,-0.12082665833333328,0.035183500000000034
202406,0.09673513293943276,0.0007551210691723362,0.09675816666666663,0.030716999999999998
202407,-0.04191436417229576,0.0020572000000000775,-0.08920099166666665,0.0038053333333333663
202408,-0.015485492506076181,0.10846739999999985,-0.000630999999999984,0.053407499999999955
202409,-0.016501918579362153,-0.03436499999999997,-0.008485,-0.01996116666666669
202410,0.05752883070074139,0.0856613295346304,0.008657499999999999,0.10597966666666665
202411,0.013998926070380086,-0.035059399999999956,-0.0048431666666667005,-0.037160999999999944
202412,0.08109466662831069,-0.0303246000000001,0.09926683333333333,-0.03633016666666666
202501,0.04099862613391109,-0.04651740203051989,0.011183499999999999,-0.04964833333333331
202502,0.022269593065415413,-0.04269060000000058,0.07010934166666664,-0.05530566666666664
202503,0.09650816693251042,0.009234936157226824,0.10617416666666663,0.0036133333333333304
202504,-0.021711445709719425,0.07314844846654127,-0.05221616666666665,0.045914166666666666
202505,0.1729916380854462,0.14530080000000006,0.1608528333333333,0.08676866666666666
202506,0.11448878846182091,0.00893755698803263,0.1531256666666666,0.009096499999999997
202507,-0.0633061684791554,0.02242003005800646,-0.06064099166666666,0.04414716666666665
202508,-0.022113689342167862,0.010810999999999828,-0.03830799999999997,0.04062216666666668
202509,-0.06558908273370893,-0.007613363318176061,-0.08951683333333334,-0.005243666666666652
202510,-0.1479624866061967,0.030564428381388967,-0.103785,0.01293950000000001
202511,-0.0381176486631931,-0.018430399999999944,-0.005223666666666668,0.0220015
